Japanese,Romanization,English
ヘッドホン,Heddohon,Headphones
イアホン,Iahon,Earphones
ソフト,Sofuto,Software
ビデオゲーム,Bideogeemu,Video game
設定,Settei,Settings / Option configurations
ファイル,Fairu,File
保存,Hozon,Saving (to disk)
削除,Sakujo,Deletion
移動,Idou,Movement (of a file)
インターネット,Intaanetto,Internet
ネット,Netto,The net
サイト,Saito,Website
ダウンロード,Daunroodo,Download
電話,Denwa,Telephone
携帯,Keitai,Cell phone
アプリ,Apuri,App
機能,Kinou,Function
技術,Gijutsu,Technology
再起動,Saikidou,Restart
形式,Keishiki,Format (e.g. of a file)
編集,Henshuu,Editing
印刷,Insatsu,Printing
乗り物,Norimono,Vehicle
交通の便,Koutsuu no ben,Ease of transportation
車,Kuruma,Car
タクシー,Taksuhii,Taxi
バイク,Baiku,Motorcycle
自転車,Jitensha,Bicycle
バス,Basu,Bus
バス停,Basutei,Bus stop
電車,Densha,Train
地下鉄,Chikatetsu,Subway
きっぷ,Kippu,Ticket
駅,Eki,Train station
船,Fune,Ship
港,Minato,Port / harbor
飛行機,Hikouki,Airplane
空港,Kuukou,Airport
航空券,Koukuuken,Plane ticket
行き先,Ikisaki,Destination
到着,Touchaku,Arrival
出発,Shuppatsu,Departure
スーツケース,Suutsukeesu,Suitcase
旅行,Ryokou,Travel / trip
一泊二日,Ippakufutsuka,One night two day trip
二泊三日,Nihakumikka,Two night three day trip
三泊四日,Sanpakuyouka,Three night four day trip
ツアー,Tsuaa,Tour
海外,Kaigai,Abroad / overseas
国内,Kokunai,Domestic (travel)
観光,Kankou,Sight-seing
旅館,Ryokan,Japanese style inn
ホステル,Hosuteru,Hostel
お土産,Omiyage,Omiyage (obligatory gifts from a trip/souvenirs)
運転免許,Untenmenkyo,Driver's license
運転する,Untensuru,To drive
警音器,Keionki,Car horn
運転手,Untenshu,Driver
乗客,Joukyaku,Passenger
車線,Shasen,Traffic lane
信号,Shingou,Traffic light
標識,Hyoushiki,Sign
歩行者,Hokousha,Pedestrians
歩道,Hodou,Sidewalk
横断歩道,Oudanhodou,Crosswalk
交差点,Kousaten,Intersection
駐車,Chuusha,Parking
速度,Sokudo,Speed
交通,Koutsuu,Traffic
道路,Dorou,Road
通行,Tuukou,Passage
角,Kado,Corner
ガソリンスタンド,Gasorinsutando,Gas station
一方,Ippou,One way
止まれ,Tomare,"""Stop"""
進入禁止,Shinnyuu kinshi,Do not enter
まっすぐ,Massugu,Straight
左,Hidari,Left
右,Migi,Right
回る,Mawaru,To turn
ゴミ箱,Gomibako,Trash bin
燃やすゴミ,Moyasugomi,Burnable trash
可燃ごみ,Kanen gomi,Combustible waste
生ゴミ,Namagomi,Kitchen waste / food scraps
資源ごみ,Shigengomi,Recyclable waste
ペットボトル,Pettobotoru,Plastic bottle
ボトル,Botoru,Bottle
フタ,Futa,Bottle cap
食品包装,Shokuhinhousou,Food packaging
プラスチック,Purasuchikku,Plastic
燃やさないゴミ,Moyasanaigomi,Trash that is not burnable
不燃ごみ,Funengomi,Non-combustible trash
瀬戸物,Setomono,Ceramics / porcelain
ガラス,Garasu,Glass
メタル,Metaru,Metal
電球,Denkyuu,Light bulb
粗大ごみ,Sodaigomi,Oversized garbage
粗大ごみ処理券,Sodaigomi Shoriken,Removal fee payment sticker for oversized garbage
ゴミを出す,Gomi wo dasu,To take out the garbage
ゴミを分別する,Gomi wo bunbetsu suru,To separate garbage
ゴミを収集する,Gomi wo shuushuu suru,To collect garbage
収集日,Shuushuubi,(Garbage) collection day
古紙,Koshi,Paper for recycling
容器包装,Youkihousou,Containers / packaging
紙製容器包装,Kamisei youkihousou,Paper packaging
ダンボール,Danbooru,Cardboard
仕方がない/しょうがない,Shikata ga nai / Shouganai,There's nothing that can be done/ It is what it is
木漏れ日,Kimorebi,Sunlight filtering through the leaves on a tree
紅葉,Kouyou or momiji,The leaves changing color in fall
幻想的,Gensouteki,Fairytale-like
生きがい,Ikigai,Reason for living
木枯らし,Kogarashi,Cold wind as a sign of winter
侘び寂び,Wabi sabi,Japanese aesthetic of transience and imperfection
積ん読,Tsundoku,Buying books and not reading them / stockpiling books
微妙,Bimyou,"Questionable, subtle"
居留守,Irusuban,Pretending to be out to avoid a guest
引きこもり,HIkikomori,"A shut-in, someone who has withdrawn from society"
もののあわれ,Mononoaware,Appreciation of the fleeting nature of beauty
恋の予感,Koi no yokan,A premonition of love / knowing you will fall in love with someone (not love at first sight)
風物詩,Fuubutsushi,A thing that reminds one of a particular season
懐かしい,Natsukashii,Fondly-remembered / nostalgic
はじめまして,Hajimemasite,How do you do?
おはようございます,Ohayou gozaimasu,Good morning
こんにちは,Kon’nichiwa,Good day/afternoon
こんばんは,Konbanwa,Good evening
"お元気でうすか。
 
はい、元気です。","Ogenki desu ka?
 
Hai, genki desu.","How are you doing?
 
I’m well."
おやすみなさい,Oyasumi nasai,Good night
久しぶりです,Hisashiburi desu,Long time no see
いってきます,Ittekimasu,See you later (lit. I’ll go and come back)
いってらしゃい,Itterashai,See you later (lit. please go and come back)
ただいま,Tadaima,I’m home
おかえりなさい,Okaeri nasai,Welcome back
"いる
",iru,To be (animate)
"行く
",iku,To go
"来る
",kuru,To come
する / やる,suru / yaru,To do
食べる,taberu,To eat
言う,iu,To say
見る,miru,To watch
